TypeName,TypeKind,QualName,Subtype,ParentNames,ChildNames
KeyMixin,Key,cl.runtime.records.key_mixin.KeyMixin,None,,AzureBlobStorage;BarPlot;BasicCouchDb;BasicMongoDb;BasicMongoMockDb;BinaryExperiment;BinaryTrial;Case;CaseKey;CategoricalBoxPlot;CeleryQueue;ClassMethodTask;ClassifierExperiment;ClassifierTrial;Configuration;ConfigurationKey;ConfusionMatrixPlot;CsvReader;Dag;DagKey;DataDecl;DataSource;DataSourceKey;DataclassTypeDecl;Dataset;DatasetKey;Db;DbEventBroker;DbKey;Draw;DrawKey;EmptyView;EnumDecl;EnumItemLabel;EnumItemLabelKey;Env;EnvKey;Event;EventBroker;EventBrokerKey;EventKey;Experiment;ExperimentInterrupt;ExperimentInterruptKey;ExperimentKey;FieldLabel;FieldLabelKey;Filter;FilterByQuery;FilterByType;FilterKey;FilterMany;FstringTemplateEngine;GroupBarPlot;HeatMapPlot;HtmlView;InstanceMethodTask;JinjaTemplateEngine;JsonReader;KeyDecl;KeyListView;KeyMixin;KeyView;LinePlot;LocalCache;LocalStorage;Locale;LocaleKey;Log;LogEvent;LogKey;LogMessage;LogMessageKey;MatplotlibPlot;MethodLabel;MethodLabelKey;MethodTask;ModuleDecl;ModuleDeclKey;MultiPlot;PackageAlias;PackageAliasKey;PackageLabel;PackageLabelKey;PdfView;Permission;PermissionKey;Plot;PlotKey;PlotView;PlotlyEngine;PlottingEngine;PlottingEngineKey;PngView;PreloadConfiguration;PrimitiveDecl;ProcessQueue;Reader;ReaderKey;RecordDecl;RecordListView;RecordMixin;RecordTypePresence;RecordTypePresenceKey;RecordView;Resource;ResourceKey;ScatterPlot2D;ScatterPlot3D;Script;SqliteDb;StackBarPlot;Storage;StorageKey;StubBinaryExperiment;StubClassifierExperiment;StubContext;StubContextKey;StubDataViewers;StubDataclass;StubDataclassAliased;StubDataclassAliasedKey;StubDataclassAnyFields;StubDataclassAnyFieldsKey;StubDataclassComposite;StubDataclassCompositeKey;StubDataclassDerived;StubDataclassDerivedHandlers;StubDataclassDictFields;StubDataclassDictListFields;StubDataclassDoubleDerived;StubDataclassEmptyFields;StubDataclassFrozendictFields;StubDataclassKey;StubDataclassListDictFields;StubDataclassListFields;StubDataclassNestedFields;StubDataclassNumpyFields;StubDataclassOptionalFields;StubDataclassOptionalFieldsKey;StubDataclassOtherDerived;StubDataclassPolymorphic;StubDataclassPolymorphicBaseKey;StubDataclassPolymorphicComposite;StubDataclassPolymorphicCompositeKey;StubDataclassPolymorphicKey;StubDataclassPrimitiveFields;StubDataclassPrimitiveFieldsKey;StubDataclassSingleton;StubDataclassSingletonKey;StubDataclassTupleFields;StubDataclassVersioned;StubDataclassVersionedKey;StubDerivedContext;StubHandlers;StubHandlersKey;StubMediaViewers;StubPlotViewers;StubPydantic;StubPydanticHandlers;StubPydanticHandlersKey;StubPydanticKey;StubPydanticNestedFields;StubSamplesConfiguration;StubSlotted;StubSlottedKey;StubSupervisedBinaryExperiment;StubSupervisedClassifierExperiment;StubTask;StubTemplate;StubTemplateKey;StubViewers;StubViewersKey;SuccessorDag;SuccessorDagKey;SuccessorDagNode;SuccessorDagNodeKey;SupervisedBinaryExperiment;SupervisedBinaryTrial;SupervisedClassifierExperiment;SupervisedClassifierTrial;Task;TaskEvent;TaskFinishedEvent;TaskKey;TaskLog;TaskQueue;TaskQueueKey;TemplateEngine;TemplateEngineKey;TemplateMixin;Tenant;TenantKey;Trial;TrialKey;TypeDecl;TypeDeclKey;TypeLabel;TypeLabelKey;UiAppState;UiAppStateKey;UiClearLogsMarker;UiClearLogsMarkerKey;UiTypeLayout;UiTypeLayoutKey;UiTypeState;UiTypeStateKey;User;UserKey;UserLogMessage;View;ViewKey;WorkflowPhase;WorkflowPhaseKey;WorkflowPhaseTask;WorkflowTask;YamlReader
KeySerializer,Data,cl.runtime.serializers.key_serializer.KeySerializer,None,KeySerializer;Serializer,KeySerializer
KeyView,Record,cl.runtime.views.key_view.KeyView,None,KeyView;View;ViewKey,KeyView
LayoutElement,Data,cl.runtime.ui.layout_element.LayoutElement,None,LayoutElement;LayoutElementBase,LayoutElement
LayoutElementBase,Data,cl.runtime.ui.layout_element_base.LayoutElementBase,None,LayoutElementBase,LayoutElement;LayoutElementBase;LayoutStackElement
LayoutStackElement,Data,cl.runtime.ui.layout_stack_element.LayoutStackElement,None,LayoutElementBase;LayoutStackElement,LayoutStackElement
LicenseKind,Enum,cl.runtime.prebuild.license_kind.LicenseKind,None,,
LinePlot,Record,cl.runtime.plots.line_plot.LinePlot,None,LinePlot;MatplotlibPlot;Plot;PlotKey,LinePlot
LocalBinaryFile,Data,cl.runtime.storage.local_binary_file.LocalBinaryFile,None,BinaryFile;LocalBinaryFile,LocalBinaryFile
LocalCache,Record,cl.runtime.db.local.local_cache.LocalCache,None,Db;DbKey;LocalCache,LocalCache
LocalSecretsProvider,Data,cl.runtime.auth.local_secrets_provider.LocalSecretsProvider,None,LocalSecretsProvider;SecretsProvider,LocalSecretsProvider
LocalStorage,Record,cl.runtime.storage.local_storage.LocalStorage,None,LocalStorage;Storage;StorageKey,LocalStorage
LocalTextFile,Data,cl.runtime.storage.local_text_file.LocalTextFile,None,LocalTextFile;TextFile,LocalTextFile
Locale,Record,cl.runtime.parsers.locale.Locale,None,Locale;LocaleKey,Locale
LocaleKey,Key,cl.runtime.parsers.locale_key.LocaleKey,None,LocaleKey,Locale;LocaleKey
LocaleSettings,Data,cl.runtime.settings.locale_settings.LocaleSettings,None,LocaleSettings;Settings,LocaleSettings
Log,Record,cl.runtime.log.log.Log,None,Log;LogKey,Log;TaskLog
LogEvent,Record,cl.runtime.events.log_event.LogEvent,None,Event;EventKey;LogEvent,LogEvent
LogKey,Key,cl.runtime.log.log_key.LogKey,None,LogKey,Log;LogKey;TaskLog
LogLevel,Enum,cl.runtime.log.log_level.LogLevel,None,,
LogMessage,Record,cl.runtime.log.log_message.LogMessage,None,LogMessage;LogMessageKey,LogMessage;UserLogMessage
LogMessageKey,Key,cl.runtime.log.log_message_key.LogMessageKey,None,LogMessageKey,LogMessage;LogMessageKey;UserLogMessage
LogSettings,Data,cl.runtime.settings.log_settings.LogSettings,None,LogSettings;Settings,LogSettings
LongFormat,Enum,cl.runtime.serializers.long_format.LongFormat,None,,
Lt,Data,cl.runtime.records.predicates.Lt,None,Lt;Predicate,Lt
Lte,Data,cl.runtime.records.predicates.Lte,None,Lte;Predicate,Lte
MatplotlibPlot,Record,cl.runtime.plots.matplotlib_plot.MatplotlibPlot,None,MatplotlibPlot;Plot;PlotKey,BarPlot;CategoricalBoxPlot;ConfusionMatrixPlot;GroupBarPlot;HeatMapPlot;LinePlot;MatplotlibPlot;MultiPlot;StackBarPlot
MemberDecl,Data,cl.runtime.schema.member_decl.MemberDecl,None,MemberDecl,ElementDecl;HandlerParamDecl;HandlerVariableDecl;MemberDecl
MethodLabel,Record,cl.runtime.settings.labels.method_label.MethodLabel,None,MethodLabel;MethodLabelKey,MethodLabel
MethodLabelKey,Key,cl.runtime.settings.labels.method_label_key.MethodLabelKey,None,MethodLabelKey,MethodLabel;MethodLabelKey
MethodTask,Record,cl.runtime.tasks.method_task.MethodTask,None,MethodTask;Task;TaskKey,ClassMethodTask;InstanceMethodTask;MethodTask
ModuleDecl,Record,cl.runtime.schema.module_decl.ModuleDecl,None,ModuleDecl;ModuleDeclKey,ModuleDecl
ModuleDeclKey,Key,cl.runtime.schema.module_decl_key.ModuleDeclKey,None,ModuleDeclKey,ModuleDecl;ModuleDeclKey
MultiPlot,Record,cl.runtime.plots.multi_plot.MultiPlot,None,MatplotlibPlot;MultiPlot;Plot;PlotKey,MultiPlot
NoneFormat,Enum,cl.runtime.serializers.none_format.NoneFormat,None,,
Not,Data,cl.runtime.records.predicates.Not,None,Not;Predicate,Not
NotIn,Data,cl.runtime.records.predicates.NotIn,None,NotIn;Predicate,NotIn
NullInclusion,Enum,cl.runtime.serializers.null_inclusion.NullInclusion,None,,
Or,Data,cl.runtime.records.predicates.Or,None,Or;Predicate,Or
PackageAlias,Record,cl.runtime.settings.aliases.package_alias.PackageAlias,None,PackageAlias;PackageAliasKey,PackageAlias
PackageAliasKey,Key,cl.runtime.settings.aliases.package_alias_key.PackageAliasKey,None,PackageAliasKey,PackageAlias;PackageAliasKey
PackageLabel,Record,cl.runtime.settings.labels.package_label.PackageLabel,None,PackageLabel;PackageLabelKey,PackageLabel
PackageLabelKey,Key,cl.runtime.settings.labels.package_label_key.PackageLabelKey,None,PackageLabelKey,PackageLabel;PackageLabelKey
PackageSettings,Data,cl.runtime.settings.package_settings.PackageSettings,None,PackageSettings;Settings,PackageSettings
PdfView,Record,cl.runtime.views.pdf_view.PdfView,None,PdfView;View;ViewKey,PdfView
Permission,Record,cl.runtime.db.permission.Permission,None,Permission;PermissionKey,Permission
PermissionKey,Key,cl.runtime.db.permission_key.PermissionKey,None,PermissionKey,Permission;PermissionKey
Plot,Record,cl.runtime.plots.plot.Plot,None,Plot;PlotKey,BarPlot;CategoricalBoxPlot;ConfusionMatrixPlot;GroupBarPlot;HeatMapPlot;LinePlot;MatplotlibPlot;MultiPlot;Plot;ScatterPlot2D;ScatterPlot3D;StackBarPlot
PlotColor,Enum,cl.runtime.plots.plot_color.PlotColor,None,,
PlotKey,Key,cl.runtime.plots.plot_key.PlotKey,None,PlotKey,BarPlot;CategoricalBoxPlot;ConfusionMatrixPlot;GroupBarPlot;HeatMapPlot;LinePlot;MatplotlibPlot;MultiPlot;Plot;PlotKey;ScatterPlot2D;ScatterPlot3D;StackBarPlot
PlotLineStyle,Enum,cl.runtime.plots.plot_line_style.PlotLineStyle,None,,
PlotMarkerStyle,Enum,cl.runtime.plots.plot_marker_style.PlotMarkerStyle,None,,
PlotSurfaceStyle,Enum,cl.runtime.plots.plot_surface_style.PlotSurfaceStyle,None,,
PlotView,Record,cl.runtime.views.plot_view.PlotView,None,PlotView;View;ViewKey,PlotView
PlotlyEngine,Record,cl.runtime.plots.for_plotly.plotly_engine.PlotlyEngine,None,PlotlyEngine;PlottingEngine;PlottingEngineKey,PlotlyEngine
PlottingEngine,Record,cl.runtime.plots.plotting_engine.PlottingEngine,None,PlottingEngine;PlottingEngineKey,PlotlyEngine;PlottingEngine
PlottingEngineKey,Key,cl.runtime.plots.plotting_engine_key.PlottingEngineKey,None,PlottingEngineKey,PlotlyEngine;PlottingEngine;PlottingEngineKey
PngView,Record,cl.runtime.views.png_view.PngView,None,PngView;View;ViewKey,PngView
Predicate,Data,cl.runtime.records.predicates.Predicate,None,Predicate,And;Exists;Gt;Gte;In;Lt;Lte;Not;NotIn;Or;Predicate;Range
PreloadConfiguration,Record,cl.runtime.configurations.preload_configuration.PreloadConfiguration,None,Configuration;ConfigurationKey;PreloadConfiguration,PreloadConfiguration
PreloadSettings,Data,cl.runtime.settings.preload_settings.PreloadSettings,None,PreloadSettings;Settings,PreloadSettings
PrimitiveDecl,Record,cl.runtime.schema.primitive_decl.PrimitiveDecl,None,PrimitiveDecl;TypeDecl;TypeDeclKey,PrimitiveDecl
PrimitiveSerializer,Data,cl.runtime.serializers.primitive_serializer.PrimitiveSerializer,None,PrimitiveSerializer;Serializer,PrimitiveSerializer
PrimitiveSpec,Data,cl.runtime.schema.primitive_spec.PrimitiveSpec,None,PrimitiveSpec;TypeSpec,PrimitiveSpec
ProcessQueue,Record,cl.runtime.tasks.process_queue.ProcessQueue,None,ProcessQueue;TaskQueue;TaskQueueKey,ProcessQueue
ProjectUtilKind,Enum,cl.runtime.project.project_layout_kind.ProjectUtilKind,None,,
ProjectSettings,Data,cl.runtime.settings.project_settings.ProjectSettings,None,ProjectSettings;Settings,ProjectSettings
PydanticMixin,Data,cl.runtime.records.for_pydantic.pydantic_mixin.PydanticMixin,None,,DataService;FilterScreenItem;PydanticMixin;RecordPanel;ScreensResponse;SelectDataResponse;StubPydantic;StubPydanticData;StubPydanticHandlers;StubPydanticHandlersKey;StubPydanticKey;StubPydanticNestedFields;TableScreenItem;TypeScreenItem
QaSettings,Data,cl.runtime.settings.qa_settings.QaSettings,None,QaSettings;Settings,QaSettings
QueryMixin,Data,cl.runtime.db.query_mixin.QueryMixin,None,,ExperimentKeyQuery;QueryMixin;RecordTypePresenceQuery;StubDataclassDerivedQuery;StubDataclassNestedFieldsQuery;StubDataclassPrimitiveFieldsQuery;StubDataclassQuery;TaskQuery;TrialQuery;ViewKeyQuery
Range,Data,cl.runtime.records.predicates.Range,None,Predicate;Range,Range
Reader,Record,cl.runtime.file.reader.Reader,None,Reader;ReaderKey,CsvReader;JsonReader;Reader;YamlReader
ReaderKey,Key,cl.runtime.file.reader_key.ReaderKey,None,ReaderKey,CsvReader;JsonReader;Reader;ReaderKey;YamlReader
RecordDecl,Record,cl.runtime.schema.record_decl.RecordDecl,None,RecordDecl;TypeDecl;TypeDeclKey,RecordDecl
RecordListView,Record,cl.runtime.views.record_list_view.RecordListView,None,RecordListView;View;ViewKey,RecordListView
RecordMixin,Record,cl.runtime.records.record_mixin.RecordMixin,None,,AzureBlobStorage;BarPlot;BasicCouchDb;BasicMongoDb;BasicMongoMockDb;BinaryExperiment;BinaryTrial;Case;CategoricalBoxPlot;ClassMethodTask;ClassifierExperiment;ClassifierTrial;Configuration;ConfusionMatrixPlot;CsvReader;Dag;DataDecl;DataSource;DataclassTypeDecl;Dataset;Db;DbEventBroker;Draw;EmptyView;EnumDecl;EnumItemLabel;Env;Event;EventBroker;Experiment;ExperimentInterrupt;FieldLabel;Filter;FilterByQuery;FilterByType;FilterMany;FstringTemplateEngine;GroupBarPlot;HeatMapPlot;HtmlView;InstanceMethodTask;JinjaTemplateEngine;JsonReader;KeyDecl;KeyListView;KeyView;LinePlot;LocalCache;LocalStorage;Locale;Log;LogEvent;LogMessage;MatplotlibPlot;MethodLabel;MethodTask;ModuleDecl;MultiPlot;PackageAlias;PackageLabel;PdfView;Permission;Plot;PlotView;PlotlyEngine;PlottingEngine;PngView;PreloadConfiguration;PrimitiveDecl;Reader;RecordDecl;RecordListView;RecordMixin;RecordTypePresence;RecordView;Resource;ScatterPlot2D;ScatterPlot3D;Script;SqliteDb;StackBarPlot;Storage;StubBinaryExperiment;StubClassifierExperiment;StubContext;StubDataViewers;StubDataclass;StubDataclassAliased;StubDataclassAnyFields;StubDataclassComposite;StubDataclassDerived;StubDataclassDerivedHandlers;StubDataclassDictFields;StubDataclassDictListFields;StubDataclassDoubleDerived;StubDataclassEmptyFields;StubDataclassFrozendictFields;StubDataclassListDictFields;StubDataclassListFields;StubDataclassNestedFields;StubDataclassNumpyFields;StubDataclassOptionalFields;StubDataclassOtherDerived;StubDataclassPolymorphic;StubDataclassPolymorphicComposite;StubDataclassPrimitiveFields;StubDataclassSingleton;StubDataclassTupleFields;StubDataclassVersioned;StubDerivedContext;StubHandlers;StubMediaViewers;StubPlotViewers;StubPydantic;StubPydanticHandlers;StubPydanticNestedFields;StubSamplesConfiguration;StubSlotted;StubSupervisedBinaryExperiment;StubSupervisedClassifierExperiment;StubTask;StubTemplate;StubViewers;SuccessorDag;SuccessorDagNode;SupervisedBinaryExperiment;SupervisedBinaryTrial;SupervisedClassifierExperiment;SupervisedClassifierTrial;Task;TaskEvent;TaskFinishedEvent;TaskLog;TemplateEngine;TemplateMixin;Tenant;Trial;TypeDecl;TypeLabel;UiAppState;UiClearLogsMarker;UiTypeLayout;UiTypeState;User;UserLogMessage;View;WorkflowPhase;WorkflowPhaseTask;WorkflowTask;YamlReader
RecordPanel,Data,cl.runtime.records.record_panel.RecordPanel,None,RecordPanel,RecordPanel
RecordTypePresence,Record,cl.runtime.records.record_type_presence.RecordTypePresence,None,RecordTypePresence;RecordTypePresenceKey,RecordTypePresence
RecordTypePresenceKey,Key,cl.runtime.records.record_type_presence_key.RecordTypePresenceKey,None,RecordTypePresenceKey,RecordTypePresence;RecordTypePresenceKey
RecordTypePresenceQuery,Data,cl.runtime.records.record_type_presence_query.RecordTypePresenceQuery,None,RecordTypePresenceQuery,RecordTypePresenceQuery
RecordView,Record,cl.runtime.views.record_view.RecordView,None,RecordView;View;ViewKey,RecordView
RegressionGuard,Data,cl.runtime.qa.regression_guard.RegressionGuard,None,RegressionGuard,RegressionGuard
Resource,Record,cl.runtime.db.resource.Resource,None,Resource;ResourceKey,Resource
ResourceKey,Key,cl.runtime.db.resource_key.ResourceKey,None,ResourceKey,Resource;ResourceKey
SavePolicy,Enum,cl.runtime.db.save_policy.SavePolicy,None,,
ScatterPlot2D,Record,cl.runtime.plots.scatter_plot_2d.ScatterPlot2D,None,Plot;PlotKey;ScatterPlot2D,ScatterPlot2D
ScatterPlot3D,Record,cl.runtime.plots.scatter_plot_3d.ScatterPlot3D,None,Plot;PlotKey;ScatterPlot3D,ScatterPlot3D
ScatterValues2D,Data,cl.runtime.plots.scatter_values_2d.ScatterValues2D,None,ScatterValues2D,ScatterValues2D
ScatterValues3D,Data,cl.runtime.plots.scatter_values_3d.ScatterValues3D,None,ScatterValues3D,ScatterValues3D
ScreensResponse,Data,cl.runtime.services.data.screens_response.ScreensResponse,None,ScreensResponse,ScreensResponse
Script,Record,cl.runtime.views.script.Script,None,Script;View;ViewKey,Script
ScriptLanguage,Enum,cl.runtime.views.script_language.ScriptLanguage,None,,
SecretsProvider,Data,cl.runtime.auth.secrets_provider.SecretsProvider,None,SecretsProvider,LocalSecretsProvider;SecretsProvider
SecretsSettings,Data,cl.runtime.settings.secrets_settings.SecretsSettings,None,SecretsSettings;Settings,SecretsSettings
SelectDataResponse,Data,cl.runtime.services.data.select_data_response.SelectDataResponse,None,SelectDataResponse,SelectDataResponse
Serializer,Data,cl.runtime.serializers.serializer.Serializer,None,Serializer,BootstrapSerializer;DataSerializer;EnumSerializer;JsonSerializer;KeySerializer;PrimitiveSerializer;Serializer;YamlSerializer
Settings,Data,cl.runtime.settings.settings.Settings,None,Settings,ApiSettings;BuildSettings;CelerySettings;DbSettings;EnvSettings;FrontendSettings;LocaleSettings;LogSettings;PackageSettings;PreloadSettings;ProjectSettings;QaSettings;SecretsSettings;Settings;SseSettings;VersionSettings
SlotsUtil,Data,cl.runtime.serializers.slots_util.SlotsUtil,None,SlotsUtil,SlotsUtil
SortOrder,Enum,cl.runtime.db.sort_order.SortOrder,None,,
SqliteDb,Record,cl.runtime.db.sql.sqlite_db.SqliteDb,None,Db;DbKey;SqliteDb,SqliteDb
SseSettings,Data,cl.runtime.settings.sse_settings.SseSettings,None,Settings;SseSettings,SseSettings
StackBarPlot,Record,cl.runtime.plots.stack_bar_plot.StackBarPlot,None,BarPlot;MatplotlibPlot;Plot;PlotKey;StackBarPlot,StackBarPlot
Storage,Record,cl.runtime.storage.storage.Storage,None,Storage;StorageKey,AzureBlobStorage;LocalStorage;Storage
StorageKey,Key,cl.runtime.storage.storage_key.StorageKey,None,StorageKey,AzureBlobStorage;LocalStorage;Storage;StorageKey
StorageMode,Enum,cl.runtime.storage.storage_mode.StorageMode,None,,
StringFormat,Enum,cl.runtime.serializers.string_format.StringFormat,None,,
StubBinaryExperiment,Record,stubs.cl.runtime.stat.stub_binary_experiment.StubBinaryExperiment,None,BinaryExperiment;Experiment;ExperimentKey;StubBinaryExperiment,StubBinaryExperiment
StubClassifierExperiment,Record,stubs.cl.runtime.stat.stub_classifier_experiment.StubClassifierExperiment,None,ClassifierExperiment;Experiment;ExperimentKey;StubClassifierExperiment,StubClassifierExperiment
StubContext,Record,stubs.cl.runtime.contexts.stub_context.StubContext,None,StubContext;StubContextKey,StubContext;StubDerivedContext
StubContextKey,Key,stubs.cl.runtime.contexts.stub_context_key.StubContextKey,None,StubContextKey,StubContext;StubContextKey;StubDerivedContext
StubDataViewers,Record,stubs.cl.runtime.views.stub_data_viewers.StubDataViewers,None,StubDataViewers;StubViewers;StubViewersKey,StubDataViewers
StubDataclass,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass.StubDataclass,None,StubDataclass;StubDataclassKey,StubDataclass;StubDataclassDerived;StubDataclassDictFields;StubDataclassDictListFields;StubDataclassDoubleDerived;StubDataclassEmptyFields;StubDataclassFrozendictFields;StubDataclassListDictFields;StubDataclassListFields;StubDataclassNestedFields;StubDataclassNumpyFields;StubDataclassOtherDerived;StubDataclassTupleFields
StubDataclassAliased,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_aliased.StubDataclassAliased,None,StubDataclassAliased;StubDataclassAliasedKey,StubDataclassAliased
StubDataclassAliasedKey,Key,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_aliased_key.StubDataclassAliasedKey,None,StubDataclassAliasedKey,StubDataclassAliased;StubDataclassAliasedKey
StubDataclassAnyFields,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_any_fields.StubDataclassAnyFields,None,StubDataclassAnyFields;StubDataclassAnyFieldsKey,StubDataclassAnyFields
StubDataclassAnyFieldsKey,Key,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_any_fields_key.StubDataclassAnyFieldsKey,None,StubDataclassAnyFieldsKey,StubDataclassAnyFields;StubDataclassAnyFieldsKey
StubDataclassComposite,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_composite.StubDataclassComposite,None,StubDataclassComposite;StubDataclassCompositeKey,StubDataclassComposite
StubDataclassCompositeKey,Key,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_composite_key.StubDataclassCompositeKey,None,StubDataclassCompositeKey,StubDataclassComposite;StubDataclassCompositeKey
StubDataclassData,Data,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_data.StubDataclassData,None,StubDataclassData,StubDataclassData;StubDataclassDerivedData;StubDataclassDoubleDerivedData
StubDataclassDerived,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_derived.StubDataclassDerived,None,StubDataclass;StubDataclassDerived;StubDataclassKey,StubDataclassDerived;StubDataclassDoubleDerived
StubDataclassDerivedData,Data,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_derived_data.StubDataclassDerivedData,None,StubDataclassData;StubDataclassDerivedData,StubDataclassDerivedData;StubDataclassDoubleDerivedData
StubDataclassDerivedHandlers,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_derived_handlers.StubDataclassDerivedHandlers,None,StubDataclassDerivedHandlers;StubHandlers;StubHandlersKey,StubDataclassDerivedHandlers
StubDataclassDerivedQuery,Data,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_derived_query.StubDataclassDerivedQuery,None,StubDataclassDerivedQuery;StubDataclassQuery,StubDataclassDerivedQuery
StubDataclassDictFields,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_dict_fields.StubDataclassDictFields,None,StubDataclass;StubDataclassDictFields;StubDataclassKey,StubDataclassDictFields
StubDataclassDictListFields,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_dict_list_fields.StubDataclassDictListFields,None,StubDataclass;StubDataclassDictListFields;StubDataclassKey,StubDataclassDictListFields
StubDataclassDoubleDerived,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_double_derived.StubDataclassDoubleDerived,None,StubDataclass;StubDataclassDerived;StubDataclassDoubleDerived;StubDataclassKey,StubDataclassDoubleDerived
StubDataclassDoubleDerivedData,Data,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_double_derived_data.StubDataclassDoubleDerivedData,None,StubDataclassData;StubDataclassDerivedData;StubDataclassDoubleDerivedData,StubDataclassDoubleDerivedData
StubDataclassEmptyFields,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_empty_fields.StubDataclassEmptyFields,None,StubDataclass;StubDataclassEmptyFields;StubDataclassKey,StubDataclassEmptyFields
StubDataclassFrozendictFields,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_frozendict_fields.StubDataclassFrozendictFields,None,StubDataclass;StubDataclassFrozendictFields;StubDataclassKey,StubDataclassFrozendictFields
StubDataclassKey,Key,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_key.StubDataclassKey,None,StubDataclassKey,StubDataclass;StubDataclassDerived;StubDataclassDictFields;StubDataclassDictListFields;StubDataclassDoubleDerived;StubDataclassEmptyFields;StubDataclassFrozendictFields;StubDataclassKey;StubDataclassListDictFields;StubDataclassListFields;StubDataclassNestedFields;StubDataclassNumpyFields;StubDataclassOtherDerived;StubDataclassTupleFields
StubDataclassListDictFields,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_list_dict_fields.StubDataclassListDictFields,None,StubDataclass;StubDataclassKey;StubDataclassListDictFields,StubDataclassListDictFields
StubDataclassListFields,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_list_fields.StubDataclassListFields,None,StubDataclass;StubDataclassKey;StubDataclassListFields,StubDataclassListFields
StubDataclassNestedFields,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_nested_fields.StubDataclassNestedFields,None,StubDataclass;StubDataclassKey;StubDataclassNestedFields,StubDataclassNestedFields
StubDataclassNestedFieldsQuery,Data,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_nested_fields_query.StubDataclassNestedFieldsQuery,None,StubDataclassNestedFieldsQuery;StubDataclassQuery,StubDataclassNestedFieldsQuery
StubDataclassNumpyFields,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_numpy_fields.StubDataclassNumpyFields,None,StubDataclass;StubDataclassKey;StubDataclassNumpyFields,StubDataclassNumpyFields
StubDataclassOptionalFields,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_optional_fields.StubDataclassOptionalFields,None,StubDataclassOptionalFields;StubDataclassOptionalFieldsKey,StubDataclassOptionalFields
StubDataclassOptionalFieldsKey,Key,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_optional_fields_key.StubDataclassOptionalFieldsKey,None,StubDataclassOptionalFieldsKey,StubDataclassOptionalFields;StubDataclassOptionalFieldsKey
StubDataclassOtherDerived,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_other_derived.StubDataclassOtherDerived,None,StubDataclass;StubDataclassKey;StubDataclassOtherDerived,StubDataclassOtherDerived
StubDataclassPartialFreezable,Data,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_partial_freezable.StubDataclassPartialFreezable,None,StubDataclassPartialFreezable,StubDataclassPartialFreezable
StubDataclassPolymorphic,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_polymorphic.StubDataclassPolymorphic,None,StubDataclassPolymorphic;StubDataclassPolymorphicBaseKey;StubDataclassPolymorphicKey,StubDataclassPolymorphic
StubDataclassPolymorphicBaseKey,Key,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_polymorphic_base_key.StubDataclassPolymorphicBaseKey,None,StubDataclassPolymorphicBaseKey,StubDataclassPolymorphic;StubDataclassPolymorphicBaseKey;StubDataclassPolymorphicKey
StubDataclassPolymorphicComposite,Record,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_polymorphic_composite.StubDataclassPolymorphicComposite,None,StubDataclassPolymorphicComposite;StubDataclassPolymorphicCompositeKey,StubDataclassPolymorphicComposite
StubDataclassPolymorphicCompositeKey,Key,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_polymorphic_composite_key.StubDataclassPolymorphicCompositeKey,None,StubDataclassPolymorphicCompositeKey,StubDataclassPolymorphicComposite;StubDataclassPolymorphicCompositeKey
StubDataclassPolymorphicKey,Key,stubs.cl.runtime.records.for_dataclasses.stub_dataclass_polymorphic_key.StubDataclassPolymorphicKey,None,StubDataclassPolymorphicBaseKey;StubDataclassPolymorphicKey,StubDataclassPolymorphic;StubDataclassPolymorphicKey
